ID,Year of Birth,Age,Gender,Employment Duration,Industry,Occupation,Size of Employer Company,Size of Household,Residency Area,Time Spent Working Remotely Last Quarter of Last Year,Preferred Time Spent Working Remotely Last Quarter of Last Year,Time Spent Working Remotely in 2021,Preferred Time Spent Working Remotely in 2021,Preferred Time Spent Working Remotely in Future,Employer's Policy change on Remote Work,1 day Hybrid last 6 months,Duration of Hybrid,Preferences towards Hybrid,Employer's Policy on Hybrid,Employer's Time Preference on Onsite,Attitude on Employer's Preferences,Liberty to make the Choice on Decision,Liberty to make the Choice on Days,Direct Manager's role,Attitude on Employer's Decision on Remote Work,Attitude on Employer's Encouragement,Attitude on Employer's Preparedness,Attitude of Other Employees ,Ease to get Permission on Remote Work,Ease to Collaborate with Colleagues,Effect of Promotion,Attitude on Taking Breaks,Impact on Employer,Most Supportive Person(s) on Remote Work,Expected Employer's Encouragement Post Covid,Expected Employer's Support Post Covid,Attitude on Choice on Remote Post Covid,Intended Time to Commute Onsite,Intended Time for Work Onsite,Intended Time for Chores Onsite,Intended Time for Personal Life Onsite,Intended Time for Sleep Onsite,Intended Time to Commute Remote,Intended Time for Work Remote,Intended Time for Chores Remote,Intended Time for Personal Life Remote,Intended Time for Sleep Remote,Attitude on pay cut,Agreed percentage on Pay cut,Barrier of Caring Responsibilities,Barrier of Connectivity,Barrier from Organizations Software System,Barrier on Collaboration,Barrier of poor management,Barrier of IT Equipment,Barrier of Feeling Isolated,Barrier of Extra Cost,Barrier of Cyber Security,Barrier of task cannot be done remotely,Barrier about working Space,Barrier on Motivation,Barrier on Management encouragement on Remote,Barrier of my living situation,Barrier of Remote Working Skills,Barrier of Health and Safety,Positivity on Remote Work,Activeness on Remote Work,Attitute towards Team Members,Management role of Participant,Remote Employees under Manager ,Manager's discretion towards Remote ,Opinion on Remote Employee Retention,Opinion on Remote Employee Recruitment,Opinion on Remote Team Work,Opinion on monitoring Remote Team,Opinion on Remote Poor Performers,Opinion on Preparation for Remote Employee Management,Opinion on Preparation for Focus on Work,Opinion on Finding Employees,Manager's Productivity on Remote,Employee's Productivity on Remote
565,1989,32,Male,More than 5 years,Information Media and Telecommunications,"Managers - Chief Executives, General Managers and Legislators",More than 200,Couple with dependent children,Metro,50% - I spent about half of my time remote working,50% - About half of my time,20%,20%,40%,Yes,Yes,30%,40%,Yes,20%,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat Positive,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat Positive,My direct manger(s),Somewhat likely,Very likely,Somewhat likely,1,5,4,3,11,0,7,3,2,12,Yes,0.25,Somewhat improved,Significantly improved,Somewhat improved,Somewhat improved,Significantly improved,Significantly improved,Somewhat improved,Somewhat improved,Significantly improved,Somewhat improved,Somewhat improved,Somewhat improved,Significantly improved,Somewhat improved,Significantly improved,Somewhat improved,Somewhat agree,Somewhat agree,Strongly agree,Yes,Yes,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,I’m 30% more productive when working remotely,I’m 30% more productive when working remotely
566,1982,39,Male,Between 1 and 5 years,Retail Trade,"Professionals - Legal, Social and Welfare Professionals",Between 20 and 199,Couple with dependent children,Regional,40%,40%,60%,40%,40%,Yes,Yes,10%,Less than 10% of my time,No,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat Positive,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat Positive,They are about the same,Somewhat likely,Somewhat likely,Somewhat likely,4,4,4,12,,4,4,8,4,4,Yes,0.2,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat agree,Somewhat agree,Somewhat agree,Yes,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,I’m 40% more productive when working remotely,I’m 40% more productive when working remotely
568,1983,38,Male,Between 6 and 12 months,Education and Training,Managers - Specialist Managers,Between 20 and 199,Couple with dependent children,Metro,60%,100% - All of my time,60%,100% - All of my time,100% - All of my time,No,No,,,No,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly Positive,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly Positive,They are about the same,Somewhat likely,Somewhat likely,Somewhat likely,3.5,8,4,1.5,7,0.5,8,4,4.5,7,No,,Stayed about the same,Not a barrier for me,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Not a barrier for me,Somewhat improved,Not a barrier for me,Somewhat improved,Somewhat improved,Not a barrier for me,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat agree,Somewhat agree,Somewhat disagree,Yes,Yes,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,I’m 20% more productive when working remotely
569,1966,55,Male,More than 5 years,Public Administration and Safety,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,Couple with dependent children,Metro,100% - I spent all of my time remote working,100% - All of my time,90%,90%,80%,No,Yes,10%,10%,Unsure,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Positive,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly Positive,They are about the same,Very likely,Very unlikely,Very likely,2,7.5,3.5,3,8,0,7.5,3.5,5,8,No,,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Strongly agree,Strongly agree,Strongly agree,Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I’m 50% more productive when working remotely (or more),I’m 50% more productive when working remotely (or more)
570,1966,55,Male,More than 5 years,Manufacturing,Managers - Specialist Managers,Between 20 and 199,Couple with no dependent children,Metro,Rarely or never,20%,10%,30%,20%,No,No,,,Yes,100% - All of my time,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Neither positive nor negative,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat Negative,They are about the same,Very unlikely,Very unlikely,Very unlikely,1.5,8.5,2.5,4,7.5,0.5,8,3,5,7.5,No,,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat agree,Somewhat agree,Neither agree nor disagree,Yes,Yes,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,I’m 10% less productive when working remotely,I’m 10% less productive when working remotely
572,1995,26,Female,Between 1 and 5 years,Information Media and Telecommunications,Clerical and administrative workers - Inquiry Clerks and Receptionists,Between 20 and 199,Multiple family household,Metro,40%,60%,40%,70%,30%,Yes,Yes,40%,80%,Yes,30%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat Positive,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat Positive,Senior leadership,Somewhat likely,Neither unlikely or likely,Somewhat likely,2,8,4,2,8,0,10,6,2,6,Yes,0.1,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Significantly improved,Somewhat improved,Significantly worsened,Significantly worsened,Significantly improved,Somewhat improved,Somewhat improved,Significantly improved,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat agree,Neither agree nor disagree,Somewhat agree,Yes,Yes,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,I’m 10% less productive when working remotely,I’m 10% less productive when working remotely
574,2000,21,Female,Between 1 and 5 years,Construction,Community and personal service workers - Hospitality Workers,Between 1 and 4,Multiple family household,Metro,30%,50% - About half of my time,60%,60%,30%,Yes,Yes,50% - About half of my time,40%,Yes,60%,Strongly disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Neither positive nor negative,Somewhat disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Neither positive nor negative,My direct manger(s),Very unlikely,Somewhat unlikely,Very unlikely,3,2,9,7,3,8,9,4,0,3,Yes,0.78,Not a barrier for me,Significantly worsened,Not a barrier for me,Significantly worsened,Not a barrier for me,Significantly worsened,Somewhat worsened,Somewhat worsened,Stayed about the same,Somewhat improved,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Yes,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,My productivity is about same when I work remotely,My productivity is about same when I work remotely
576,1962,59,Female,Between 1 and 5 years,Manufacturing,Managers - Specialist Managers,More than 200,Couple with no dependent children,Regional,Rarely or never,I would not have preferred to work remotely,Rarely or never,I would not have preferred to work remotely,I would prefer not to work remotely,Yes,No,,,Yes,100% - All of my time,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly Negative,Strongly disagree,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly disagree,Neither positive nor negative,They are about the same,Very unlikely,Very unlikely,Very unlikely,1,12,2,2,7,0,15,3,0,6,No,,Somewhat worsened,Somewhat worsened,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Significantly worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Strongly disagree,Strongly disagree,Strongly agree,Yes,No,,,,,,,,,,I’m 20% more productive when working remotely,I’m 20% more productive when working remotely
578,1960,61,Female,More than 5 years,Education and Training,Professionals - Education Professionals,Between 5 and 19,Single person,Regional,10%,90%,Rarely or never,100% - All of my time,100% - All of my time,No,No,,,Yes,100% - All of my time,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly Negative,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly Positive,They are about the same,Very unlikely,Very unlikely,Very unlikely,0,6,4,3,11,1,6,7,2,8,Yes,0.05,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Strongly agree,Strongly agree,Somewhat disagree,Yes,No,,,,,,,,,,I’m 50% more productive when working remotely (or more),I’m 50% more productive when working remotely (or more)
581,1997,24,Female,Between 1 and 5 years,"Professional, Scientific and Technical",Professionals - Health Professionals,More than 200,Other one family household,Regional,60%,60%,70%,80%,80%,Yes,Yes,40%,50% - About half of my time,Yes,40%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly Positive,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly Positive,My direct manger(s),Somewhat likely,Somewhat likely,Somewhat likely,2,10,2,2,8,2,10,2,2,8,Yes,0.4,Somewhat improved,Somewhat improved,Somewhat improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat agree,Somewhat agree,Strongly agree,Yes,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I’m 40% more productive when working remotely,I’m 40% more productive when working remotely
582,1980,41,Male,More than 5 years,Construction,Technicians and trades workers - Construction Trades Workers,Between 1 and 4,Couple with no dependent children,Metro,100% - I spent all of my time remote working,100% - All of my time,100% - I spent all of my time remote working,100% - All of my time,80%,No,No,,,No,,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly Positive,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly Positive,Senior leadership,Somewhat likely,Somewhat likely,Somewhat likely,1,8,4,4,7,1,8,4,4,7,No,,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat improved,Significantly improved,Significantly improved,Somewhat improved,Significantly improved,Somewhat improved,Significantly improved,Strongly agree,Strongly agree,Neither agree nor disagree,Yes,Yes,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I’m 20% more productive when working remotely,I’m 20% more productive when working remotely
585,1990,31,Male,More than 5 years,Construction,Technicians and trades workers - Construction Trades Workers,More than 200,Multiple family household,Metro,100% - I spent all of my time remote working,100% - All of my time,100% - I spent all of my time remote working,100% - All of my time,100% - All of my time,Yes,Yes,100% - All of my time,100% - All of my time,Yes,100% - All of my time,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly Positive,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly Positive,My direct manger(s),Very likely,Very likely,Very likely,5,2,3,4,10,16,3,2,1,2,Yes,0.99,Significantly improved,Somewhat improved,Significantly improved,Somewhat improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Somewhat improved,Significantly improved,Significantly improved,Significantly improved,Somewhat improved,Significantly improved,Strongly agree,Strongly agree,Strongly agree,Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,I’m 50% more productive when working remotely (or more),I’m 50% more productive when working remotely (or more)
587,1971,50,Male,More than 5 years,Education and Training,"Managers - Hospitality, Retail and Service Managers",More than 200,Single person,Metro,Less than 10% of my time,Less than 10% of my time,Less than 10% of my time,20%,20%,No,Yes,30%,20%,Yes,80%,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat Positive,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat Negative,Senior leadership,Neither unlikely or likely,Somewhat likely,Neither unlikely or likely,2,8,1,6,7,0.5,8,2,5.5,8,No,,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat disagree,Somewhat agree,Somewhat agree,Yes,Yes,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,I’m 10% more productive when working remotely,I’m 10% more productive when working remotely
588,1980,41,Male,Between 6 and 12 months,"Professional, Scientific and Technical","Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Couple with dependent children,Metro,80%,100% - All of my time,100% - I spent all of my time remote working,100% - All of my time,100% - All of my time,No,Yes,10%,Less than 10% of my time,No,,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat Positive,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat Positive,They are about the same,Neither unlikely or likely,Neither unlikely or likely,Somewhat likely,2,8,2,5,7,0.5,9,3,4,7.5,No,,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat agree,Somewhat agree,Somewhat agree,Yes,Yes,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,My productivity is about same when I work remotely
589,1990,31,Male,Between 6 and 12 months,Information Media and Telecommunications,Managers - Specialist Managers,Between 20 and 199,Couple with no dependent children,Metro,20%,30%,30%,10%,20%,Yes,Yes,20%,20%,Yes,20%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Positive,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Positive,My direct manger(s),Somewhat unlikely,Somewhat likely,Somewhat unlikely,2,8,2,6,6,0,4,6,6,8,No,,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat worsened,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat worsened,Somewhat worsened,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Yes,Yes,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,My productivity is about same when I work remotely,My productivity is about same when I work remotely
590,1975,46,Female,More than 5 years,Education and Training,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Couple with dependent children,Metro,20%,100% - All of my time,20%,80%,80%,Yes,Yes,20%,80%,Yes,60%,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat Positive,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly Positive,My direct manger(s),Somewhat likely,Somewhat likely,Neither unlikely or likely,2,8,3,3,8,0,9,6,3,6,No,,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Strongly agree,Somewhat agree,Strongly agree,Yes,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,I’m 10% more productive when working remotely,I’m 10% more productive when working remotely
591,1977,44,Female,More than 5 years,Health Care and Social Assistance,Professionals - Health Professionals,More than 200,Couple with dependent children,Metro,20%,20%,10%,50% - About half of my time,10%,No,No,,,Yes,20%,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat Positive,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly Positive,Senior leadership,Somewhat likely,Very likely,Neither unlikely or likely,2,8,2,4,8,2,8,2,4,8,Yes,0.02,Stayed about the same,Somewhat improved,Somewhat improved,Significantly improved,Somewhat improved,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat improved,Stayed about the same,Significantly improved,Stayed about the same,Significantly improved,Somewhat improved,Somewhat improved,Significantly improved,Somewhat agree,Strongly agree,Neither agree nor disagree,Yes,Yes,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,I’m 30% more productive when working remotely,I’m 30% more productive when working remotely
595,1979,42,Male,More than 5 years,Retail Trade,"Managers - Hospitality, Retail and Service Managers",More than 200,Couple with no dependent children,Metro,10%,30%,Rarely or never,50% - About half of my time,50% - About half of my time,Yes,Yes,10%,20%,Yes,100% - All of my time,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly Negative,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly Positive,They are about the same,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,2,9,3,3,7,0.5,8,3,4.5,8,No,,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Significantly worsened,Somewhat worsened,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat worsened,Significantly worsened,Somewhat improved,Somewhat worsened,Stayed about the same,Somewhat improved,Significantly improved,Somewhat agree,Strongly agree,Somewhat agree,Yes,Yes,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,I’m 40% more productive when working remotely,I’m 40% more productive when working remotely
596,1985,36,Male,Between 1 and 5 years,Health Care and Social Assistance,"Managers - Hospitality, Retail and Service Managers",Between 5 and 19,Multiple family household,Metro,10%,50% - About half of my time,10%,50% - About half of my time,50% - About half of my time,Yes,No,,,Yes,50% - About half of my time,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Positive,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Positive,Senior leadership,Very likely,Very likely,Very likely,3,8,3,4,6,6,8,4,1,5,No,,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Somewhat improved,Stayed about the same,Not a barrier for me,Significantly improved,Not a barrier for me,Not a barrier for me,Significantly worsened,Somewhat worsened,Strongly agree,Strongly agree,Strongly agree,Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I’m 50% more productive when working remotely (or more),I’m 50% more productive when working remotely (or more)
597,2001,20,Female,Between 1 and 5 years,Mining,Managers - Specialist Managers,Between 20 and 199,Single person,Regional,20%,20%,20%,20%,20%,Yes,Yes,20%,20%,Yes,20%,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat Positive,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat Positive,My direct manger(s),Somewhat likely,Somewhat likely,Very likely,5,10,3,3,3,5,5,5,5,4,Yes,0.2,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat agree,Somewhat agree,Somewhat agree,Yes,Yes,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,I’m 50% more productive when working remotely (or more),I’m 50% more productive when working remotely (or more)
599,1978,43,Female,More than 5 years,Wholesale Trade,Managers - Specialist Managers,Between 20 and 199,Couple with dependent children,Metro,10%,10%,Less than 10% of my time,Less than 10% of my time,Less than 10% of my time,Yes,Yes,10%,10%,Unsure,,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat Positive,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat Positive,They are about the same,Neither unlikely or likely,Somewhat likely,Neither unlikely or likely,1,8,3,3,9,2,8,3,3,8,Yes,0.2,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat worsened,Somewhat worsened,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat agree,Somewhat agree,Neither agree nor disagree,Yes,Yes,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,I’m 20% more productive when working remotely,I’m 20% more productive when working remotely
603,1990,31,Male,Between 6 and 12 months,"Professional, Scientific and Technical",Managers - Specialist Managers,Between 5 and 19,One parent family with dependent children,Metro,30%,30%,80%,80%,70%,Yes,Yes,50% - About half of my time,70%,Yes,30%,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat Negative,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat Negative,Senior leadership,Neither unlikely or likely,Somewhat likely,Very likely,5,6,7,6,,6,4,6,3,5,Yes,0.6,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat worsened,Strongly agree,Neither agree nor disagree,Somewhat agree,Yes,No,,,,,,,,,,I’m 10% less productive when working remotely,I’m 10% less productive when working remotely
604,1990,31,Male,Between 1 and 5 years,"Professional, Scientific and Technical","Managers - Chief Executives, General Managers and Legislators",Between 1 and 4,Single person,Metro,80%,70%,70%,80%,80%,Yes,Yes,80%,60%,Yes,70%,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly Positive,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat Positive,My direct manger(s),Very likely,Very likely,Somewhat likely,5,5,2,4,8,5,9,3,1,6,Yes,0.1,Significantly improved,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Significantly improved,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Significantly improved,Somewhat improved,Somewhat improved,Stayed about the same,Significantly improved,Somewhat worsened,Strongly agree,Strongly agree,Strongly agree,Yes,Yes,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,I’m 40% more productive when working remotely,I’m 40% more productive when working remotely
609,1966,55,Female,Between 1 and 5 years,Mining,Professionals - ICT Professionals,Between 20 and 199,One parent family with dependent children,Regional,Rarely or never,20%,Less than 10% of my time,30%,20%,Yes,Yes,20%,50% - About half of my time,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Positive,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly Positive,Senior leadership,Somewhat likely,Very likely,Somewhat likely,2,7,1,6,8,4,10,2,0,8,Yes,0.1,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Not a barrier for me,Significantly improved,Significantly improved,Significantly improved,Not a barrier for me,Not a barrier for me,Significantly improved,Significantly improved,Not a barrier for me,Stayed about the same,Not a barrier for me,Significantly improved,Strongly agree,Somewhat agree,Strongly agree,Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I’m 30% more productive when working remotely,I’m 30% more productive when working remotely
